model,lodo_macro_acc,temporal_acc
bert-DecisionTree,0.6321581196581195,0.7272727272727273
bert-KNeighbors,0.697729952040297,0.7171717171717171
bert-LightGBM,0.6810251051630362,0.7676767676767676
bert-LogisticRegression,0.7262753529994909,0.797979797979798
bert-RandomForest,0.7294587117862981,0.8585858585858586
bert-SVC,0.6996305897167967,0.8383838383838383
bert-XGBoost,0.6861355598424564,0.7878787878787878
bert_llm-LogisticRegression,0.7832884548401791,0.8484848484848485
bert_llm-RandomForest,0.7224335530370013,0.8484848484848485
bert_llm-SVC,0.7384809634809635,0.8585858585858586
bert_meta-LogisticRegression,0.7864500442086649,0.8282828282828283
bert_meta-RandomForest,0.7404184417115451,0.8282828282828283
bert_meta-SVC,0.7688161455402835,0.7878787878787878
bert_num-LogisticRegression,0.7590389974010664,0.797979797979798
bert_num-RandomForest,0.7435318034455966,0.8282828282828283
bert_num-SVC,0.7689457573078263,0.7474747474747475
tfidf-DecisionTree,0.6062635640221847,0.6868686868686869
tfidf-GradientBoosting,0.6276153444256892,0.6565656565656566
tfidf-KNeighbors,0.5599405862336897,0.5757575757575758
tfidf-LightGBM,0.5989252605631916,0.6666666666666666
tfidf-LogisticRegression,0.6195221445221445,0.6666666666666666
tfidf-MultinomialNB,0.6138024810438604,0.5757575757575758
tfidf-RandomForest,0.623649626235833,0.7272727272727273
tfidf-SVC,0.5624504327090533,0.6565656565656566
tfidf-XGBoost,0.5996593923318061,0.6161616161616161
